country,cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,lon,lat
England,18,Frank,Tobin,1849-09-23,FALSE,"Liverpool, UK",FALSE,Halfback,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.9915726,53.4083714
England,19,Dawson,Turner,1846-12-15,FALSE,"Calcutta, India",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,6,6,0,0,0,0,0,0,0,3,1,2,0.5,88.36389500000001,22.572646
England,20,Henry,Turner,1850-01-23,FALSE,"Wartling, Sussex, UK",FALSE,Forward,Scotland v England,Edinburgh,1871-03-27,1,1,0,0,0,0,0,0,0,0,1,0,0,0.3624812,50.87108809999999
England,21,Thomas,Batson,1846-05-18,FALSE,"Hentland, Hereford, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,3,3,0,0,0,0,0,0,0,3,0,0,1,-2.664979,51.934092
England,22,James,Body,1846-09-03,FALSE,"Tenterden, Kent, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,2,2,0,0,0,0,0,0,0,1,0,1,0.5,0.689122,51.069358
England,23,James,Bush,1850-07-28,FALSE,"Cawnpore, India",FALSE,Forward,England v Scotland,The Oval,1872-02-05,5,5,0,0,0,0,0,0,0,3,0,2,0.6,80.3318736,26.449923
England,24,Frederick,Currey,1849-05-03,FALSE,"Kent, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,1,0,0,1,0.5217254000000001,51.2787075
England,25,Francis,d'Aguilar,1849-12-11,FALSE,"Meerut, Bengal, India",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,1,0,0,0,0,1,0,0,1,77.7064137,28.9844618
England,26,Stephen,Finney,1852-09-08,FALSE,"Marylebone, UK",FALSE,Halfback,England v Scotland,The Oval,1872-02-05,2,2,0,0,1,0,0,0,0,1,0,1,0.5,-0.1498955,51.5188746
England,27,Harold,Freeman,1850-01-15,FALSE,"Dursley, Glos, UK",FALSE,Three-quarters,England v Scotland,The Oval,1872-02-05,3,3,0,2,0,0,0,2,0,2,0,1,0.6666666666666666,-2.350518,51.678768
England,28,Francis,Isherwood,1852-10-16,FALSE,"Berkshire, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,1,0,1,0,0,0,1,0,0,1,-1.1853677,51.4669939
England,29,Frank,Luscombe,1849-11-23,FALSE,"Norwood, Surrey, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,6,6,0,0,0,0,0,0,0,4,0,2,0.6666666666666666,-0.0804351,51.4191198
England,30,James,Mackinlay,1850-12-17,FALSE,"Guildford, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,3,3,0,0,0,0,0,0,0,2,0,1,0.6666666666666666,-0.570409,51.23622
England,31,Frederick,Mills,1849-05-05,FALSE,"Chertsey, UK",FALSE,Fullback,England v Scotland,The Oval,1872-02-05,2,2,0,0,0,0,0,0,0,1,0,1,0.5,-0.509456,51.386491
England,32,William,Moberly,1850-11-14,FALSE,"Shoreham-by-Sea, Sx, UK",FALSE,Fullback,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,1,0,0,1,-0.2715558,50.8342086
England,33,Nipper,Pinching,1851-03-24,FALSE,"Gravesend, UK",FALSE,Forward,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,1,0,0,1,0.370759,51.44188399999999
England,34,Percy,Wilkinson,1847-12-16,FALSE,"Hampstead, UK",FALSE,Halfback,England v Scotland,The Oval,1872-02-05,1,1,0,0,0,0,0,0,0,1,0,0,1,-0.1761749,51.5556461
England,35,Cecil,Boyle,1853-03-16,FALSE,"St Georges Hospital,, UK",FALSE,Halfback,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.1752284,51.42656299999999
England,36,Ernest,Cheston,1848-10-24,FALSE,"Hackney, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,5,5,0,0,1,0,0,0,0,3,0,2,0.6,-0.07243759999999999,51.573445
England,37,William,Fletcher,1851-12-10,FALSE,"Kensington, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,2,2,0,0,0,0,0,0,0,0,0,2,0,-0.1938253,51.4990805
England,38,Henry,Lawrence,1848-03-17,FALSE,"Lahore, India",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,4,4,0,0,0,0,0,0,0,2,0,2,0.5,-79.324595,43.6715159
England,39,Henry,Marsh,1850-09-08,FALSE,Not Available,FALSE,Forward,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA
England,40,Murray,Marshall,1852-10-07,FALSE,"Goldalming, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,10,10,0,0,0,0,0,0,0,6,1,3,0.6,-0.612808,51.18573199999999
England,41,Sydney,Morse,1854-06-01,FALSE,"Birmingham, UK",FALSE,Fullback,Scotland v England,Glasgow,1873-03-03,3,3,0,0,0,0,0,0,0,1,0,2,0.3333333333333333,-1.890401,52.48624299999999
England,42,Cyril,Rickards,1854-01-11,FALSE,"Jeypon, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA
England,43,Ernest,Still,1852-07-14,FALSE,"Epsom, UK",FALSE,Forward,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,-0.267382,51.336036
England,44,Charles,Vanderspar,1853-07-01,FALSE,"Kandy, Ceylon",FALSE,Fullback,Scotland v England,Glasgow,1873-03-03,1,1,0,0,0,0,0,0,0,0,0,1,0,80.6337262,7.2905715
England,45,John,Batten,1853-02-28,FALSE,"Almora, Kumaon, UK",FALSE,Fullback,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,1,0,0,1,79.646666,29.5892407
England,46,Marshall,Brooks,1855-05-30,FALSE,"Haslingden, Lancs, UK",FALSE,Fullback,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.3261002,53.7008264
England,47,Henry,Bryden,1854-05-03,FALSE,"Banbury, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,1,0,0,1,-1.339775,52.0629009
England,48,William,Collins,1853-10-14,FALSE,Monghyr,FALSE,Halfback,England v Scotland,The Oval,1874-02-23,5,5,0,0,1,0,0,0,0,4,0,1,0.8,86.47339029999999,25.3707993
England,49,Charles,Crosse,1854-06-13,FALSE,"Bushey, Herts, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,2,0,0,1,-0.35842,51.64761499999999
England,50,Foster,Cunliffe,1854-04-20,FALSE,"Llanfyllin, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,1,0,0,1,-3.275786,52.76623499999999
England,51,James,Genth,1849-07-17,FALSE,"Ardwick, Manchester, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,1,0,1,0.5,-2.2168807,53.4680055
England,52,Edward,Kewley,1852-06-20,FALSE,"Eton, Bucks, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,7,7,0,0,1,0,0,0,0,4,1,2,0.5714285714285714,-0.607942,51.487402
England,53,William,Milton,1854-12-03,FALSE,"Lt.Marlow, Bucks, UK",FALSE,Three-quarters,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,2,0,0,1,-0.7769421999999999,51.5719443
England,54,Sidney,Parker,1852-10-03,FALSE,"Shirburn Castle, Oxon, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,2,2,0,0,0,0,0,0,0,1,0,1,0.5,-0.9911089999999998,51.659638
England,55,William,Stafford,1854-12-19,FALSE,Not Available,FALSE,Forward,England v Scotland,The Oval,1874-02-23,1,1,0,0,0,0,0,0,0,1,0,0,1,NA,NA
England,56,Roger,Walker,1846-09-18,FALSE,"Bury, UK",FALSE,Forward,England v Scotland,The Oval,1874-02-23,5,5,0,0,0,0,0,0,0,4,0,1,0.8,-2.2966054,53.5933498
England,57,Frank,Adams,1852-09-14,FALSE,"Newcastle-upon-Tyne, UK",FALSE,Forward,England v Ireland,The Oval,1875-02-15,7,7,0,0,2,0,0,0,0,4,0,3,0.5714285714285714,-1.61778,54.978252
England,58,Edward,Fraser,1853-04-02,FALSE,"Burnside, UK",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,1,0,0,1,-4.2014492,55.8190018
England,59,Harry,Graham,1853-08-12,FALSE,"Wimbledon, UK",FALSE,Forward,England v Ireland,The Oval,1875-02-15,4,4,0,0,0,0,0,0,0,3,0,1,0.75,-0.2206288,51.41833889999999
England,60,William,Hutchinson,1849-10-31,FALSE,"Sculcoates, UK",FALSE,Forward,England v Ireland,The Oval,1875-02-15,2,2,0,0,0,0,0,0,0,2,0,0,1,-0.349182,53.7586986
England,61,Arthur,Michell,1852-09-16,FALSE,"Headington, UK",FALSE,Halfback,England v Ireland,The Oval,1875-02-15,3,3,0,0,1,0,0,0,0,2,0,1,0.6666666666666666,-1.1985742,51.76264630000001
England,62,Edward,Nash,1853-12-20,FALSE,"Eton, UK",FALSE,Halfback,England v Ireland,The Oval,1875-02-15,1,1,0,1,0,0,0,1,0,1,0,0,1,-0.607942,51.487402
England,63,Alec,Pearson,1853-11-30,FALSE,"Mount Ridley, VIC, Australia",FALSE,Fullback,England v Ireland,The Oval,1875-02-15,7,7,0,4,0,4,0,0,0,4,1,2,0.5714285714285714,144.8965479,-37.5644431
England,64,Edward,Perrott,1851-09-16,FALSE,"Llanfyllin, UK",FALSE,Forward,England v Ireland,The Oval,1875-02-15,1,1,0,0,0,0,0,0,0,1,0,0,1,-3.275786,52.76623499999999
England,65,Lennard,Stokes,1856-02-12,FALSE,"Greenwich, UK",FALSE,Three-quarters,England v Ireland,The Oval,1875-02-15,12,12,0,19,0,17,0,2,0,8,1,3,0.6666666666666666,0.0098214,51.4933675
England,66,Louis,Birkett,1853-01-01,FALSE,"St Saviour, UK",FALSE,Fullback,Scotland v England,Edinburgh,1875-03-08,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,-2.0830344,49.1894141
England,67,Wyndham,Evanson,NA,NA,"Llansoy, UK",FALSE,Halfback,Scotland v England,Edinburgh,1875-03-08,5,5,0,0,1,0,0,0,0,1,1,3,0.2,-2.809581,51.71946
England,68,Josiah,Paul,1853-05-24,FALSE,"Tetbury, Glos, UK",FALSE,Forward,Scotland v England,Edinburgh,1875-03-08,1,1,0,0,0,0,0,0,0,0,0,1,0,-2.15818,51.639295
England,69,Jeaffreson,Brewer,NA,NA,"Ebbw Vale, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,1,0,0,1,-3.206151,51.777532
England,70,Charles,Bryden,1852-06-16,FALSE,"Banbury, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,2,2,0,0,0,0,0,0,0,1,1,0,0.5,-1.339775,52.0629009
England,71,Mark,Bulteel,1849-09-29,FALSE,"Liverpool, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.9915726,53.4083714
England,72,Charles,Clark,1857-03-19,FALSE,"W Derby, UK",FALSE,Halfback,Ireland v England,Dublin,1875-12-13,1,1,0,0,1,0,0,0,0,1,0,0,1,-1.4746186,52.9225301
England,73,John,Graham,NA,NA,"Wimbledon, Surrey, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,1,0,0,1,-0.2206288,51.41833889999999
England,74,Walter,Greg,1851-02-14,FALSE,"Macclesfield, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,2,2,0,0,0,0,0,0,0,2,0,0,1,-2.119287,53.258663
England,75,Charles,Gunner,1853-01-07,FALSE,"Bishops Waltham, UK",FALSE,Three-quarters,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,1,0,0,1,-1.2179669,50.9546872
England,76,Spencer,Login,1851-09-24,FALSE,"Futleghur, Punjab, India",FALSE,Fullback,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,1,0,0,1,75.34121789999999,31.1471305
England,77,Ernest,Marriott,1857-01-15,FALSE,"Salford, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.2901264,53.48752349999999
England,78,Edward,Turner,1854-09-01,TRUE,"Epping, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,3,3,0,0,1,0,0,0,0,3,0,0,1,0.108655,51.700328
England,79,Courteney,Verelst,1855-11-16,FALSE,"Wirral, UK",FALSE,Forward,Ireland v England,Dublin,1875-12-13,2,2,0,0,0,0,0,0,0,2,0,0,1,-3.073754,53.3727181
England,80,Arthur,Heath,1856-05-29,FALSE,"Newcastle-under-Lyme, UK",FALSE,Fullback,England v Scotland,The Oval,1876-03-06,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.2273002,53.013208
England,81,William,Hunt,1854-05-11,FALSE,"Preston, UK",FALSE,Forward,England v Scotland,The Oval,1876-03-06,4,4,0,0,0,0,0,0,0,3,1,0,0.75,-2.70309,53.763201
England,82,William,Hutchinson,1856-01-01,TRUE,"Charlton, UK",FALSE,Halfback,England v Scotland,The Oval,1876-03-06,2,2,0,0,2,0,0,0,0,2,0,0,1,0.0307737,51.4900403
England,83,Frederic,Lee,1855-09-14,FALSE,"Chelsea, UK",FALSE,Forward,England v Scotland,The Oval,1876-03-06,2,2,0,0,1,0,0,0,0,2,0,0,1,-0.170037,51.4869429
England,84,William,Rawlinson,1855-12-17,FALSE,"Bury St Edmunds, UK",FALSE,Forward,England v Scotland,The Oval,1876-03-06,1,1,0,0,0,0,0,0,0,1,0,0,1,0.7104931999999999,52.2429228
England,85,Thomas,Tetley,1856-04-12,FALSE,"Bradford, UK",FALSE,Three-quarters,England v Scotland,The Oval,1876-03-06,1,1,0,0,0,0,0,0,0,1,0,0,1,-1.759398,53.795984
England,86,George,Turner,1855-10-22,FALSE,"Essex, UK",FALSE,Forward,England v Scotland,The Oval,1876-03-06,1,1,0,0,0,0,0,0,0,1,0,0,1,0.4856781,51.57424469999999
England,87,Henry,Fowler,NA,NA,"Watford, Herts, UK",FALSE,Forward,England v Ireland,The Oval,1877-02-05,1,1,0,0,0,0,0,0,0,1,0,0,1,-0.39032,51.656489
England,88,Gillie,Harrison,1858-06-13,FALSE,"Cottingham, UK",FALSE,Forward,England v Ireland,The Oval,1877-02-05,7,7,0,0,0,0,0,0,0,5,1,1,0.7142857142857143,-0.413978,53.782081
England,89,Monkey,Hornby,1847-02-10,FALSE,"Blackburn, UK",FALSE,Fullback,England v Ireland,The Oval,1877-02-05,9,9,0,0,1,0,0,0,0,4,2,3,0.4444444444444444,-2.487529,53.748575
England,90,Petley,Price,1856-04-25,FALSE,"Poona, India",FALSE,Halfback,England v Ireland,The Oval,1877-02-05,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,73.8567437,18.5204303
England,91,Charles,Touzel,NA,NA,"Wirral, Cheshire, UK",FALSE,Forward,England v Ireland,The Oval,1877-02-05,2,2,0,0,0,0,0,0,0,1,1,0,0.5,-3.073754,53.3727181
England,92,Harry,Garnett,1851-09-16,FALSE,"Otley, Yorks, UK",FALSE,Forward,Scotland v England,Edinburgh,1877-03-05,1,1,0,0,0,0,0,0,0,0,1,0,0,-1.691786,53.905825
England,93,Archibald,Law,1853-02-02,FALSE,"Nice, France",FALSE,Forward,Scotland v England,Edinburgh,1877-03-05,1,1,0,0,0,0,0,0,0,0,1,0,0,7.261953200000001,43.7101728
England,94,Robert,Todd,1847-04-01,TRUE,"Bury, UK",FALSE,Forward,Scotland v England,Edinburgh,1877-03-05,1,1,0,0,0,0,0,0,0,0,1,0,0,-2.2966054,53.5933498
England,95,John,Biggs,1855-10-25,FALSE,"Reading, UK",FALSE,Forward,England v Scotland,The Oval,1878-03-04,2,2,0,0,0,0,0,0,0,1,0,1,0.5,-0.9781303,51.4542645
England,96,Frank,Fowler,1855-08-16,FALSE,"Newbury, UK",FALSE,No. 8,England v Scotland,The Oval,1878-03-04,2,2,0,0,0,0,0,0,0,0,0,2,0,-1.3231139,51.401409
England,97,Howard,Fowler,1857-10-20,FALSE,"Tottenham, UK",FALSE,Forward,England v Scotland,The Oval,1878-03-04,3,3,0,0,0,0,0,0,0,1,0,2,0.3333333333333333,-0.06816649999999999,51.60557480000001
England,98,Temple,Gurdon,1854-01-25,FALSE,"Barnham Broom, Norflk, UK",FALSE,Forward,England v Scotland,The Oval,1878-03-04,16,16,0,0,1,0,0,0,0,12,1,3,0.75,1.0715605,52.6249449
England,99,Henry,Kayll,1855-07-16,FALSE,"Sunderland, UK",FALSE,Fullback,England v Scotland,The Oval,1878-03-04,1,1,0,0,0,0,0,0,0,0,0,1,0,-1.383801,54.906869
England,100,George,Thomson,1856-11-26,FALSE,"Skircoat, Yorks, UK",FALSE,Forward,England v Scotland,The Oval,1878-03-04,9,9,0,0,1,0,0,0,0,6,1,2,0.6666666666666666,-1.8625311,53.7048469
England,101,George,Vernon,1856-06-20,FALSE,"Marylebone, London, UK",FALSE,Forward,England v Scotland,The Oval,1878-03-04,5,5,0,0,0,0,0,0,0,4,0,1,0.8,-0.1498955,51.5188746
England,102,John,Bell,1853-04-19,FALSE,"North Elswick, UK",FALSE,Halfback,Ireland v England,Lansdowne Road,1878-03-11,1,1,0,0,0,0,0,0,0,1,0,0,1,-1.647687,54.9676013
England,103,Thomas,Blatherwick,1855-12-25,FALSE,"Quebec, Canada",FALSE,Forward,Ireland v England,Lansdowne Road,1878-03-11,1,1,0,0,0,0,0,0,0,1,0,0,1,-71.2079809,46.8138783
England,104,Jimmy,Budd,1853-10-14,FALSE,"Bristol, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1878-03-11,5,5,0,0,1,0,0,0,0,3,0,2,0.6,-2.58791,51.454513
England,105,Ernest,Dawson,1858-05-10,FALSE,"Charlottetown, PEI, Canada",FALSE,Forward,Ireland v England,Lansdowne Road,1878-03-11,1,1,0,0,0,0,0,0,0,1,0,0,1,-63.13107040000001,46.23824
England,106,Henry,Enthoven,1855-03-16,FALSE,"Liverpool, UK",FALSE,Three-quarters,Ireland v England,Lansdowne Road,1878-03-11,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.9915726,53.4083714
England,107,Herbert,Gardner,1854-12-04,FALSE,"Cawnpore, India",FALSE,Forward,Ireland v England,Lansdowne Road,1878-03-11,1,1,0,0,1,0,0,0,0,1,0,0,1,80.3318736,26.449923
England,108,Allan,Jackson,1858-08-12,FALSE,"Spanish Town, UK",FALSE,Halfback,Ireland v England,Lansdowne Road,1878-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.9748123,18.0166835
England,109,William,Penny,NA,NA,"Langport, UK",FALSE,Fullback,Ireland v England,Lansdowne Road,1878-03-11,3,3,0,0,1,0,0,0,0,2,0,1,0.6666666666666666,-2.828719,51.038134
England,110,George,Burton,1855-08-29,FALSE,"Blackheath, UK",FALSE,Forward,Scotland v England,Edinburgh,1879-03-10,6,6,0,0,6,0,0,0,0,4,0,2,0.6666666666666666,0.0090338,51.4658393
England,111,Harry,Huth,1856-02-14,FALSE,"Huddersfield, UK",FALSE,Fullback,Scotland v England,Edinburgh,1879-03-10,1,1,0,0,0,0,0,0,0,0,0,1,0,-1.7850351,53.645792
England,112,Norman,McLeod,1856-06-30,FALSE,"Madras, India",FALSE,Forward,Scotland v England,Edinburgh,1879-03-10,2,2,0,0,0,0,0,0,0,1,0,1,0.5,80.2707184,13.0826802
England,113,Stuart,Neame,1856-06-15,FALSE,"Preston FavershaKent, UK",FALSE,Forward,Scotland v England,Edinburgh,1879-03-10,4,4,0,0,0,0,0,0,0,3,0,1,0.75,-2.70309,53.763201
England,114,Hugh,Rowley,1858-04-27,FALSE,"Chorlton-upon-Medloc, UK",FALSE,Forward,Scotland v England,Edinburgh,1879-03-10,9,9,0,0,3,0,0,0,0,5,1,3,0.5555555555555556,-2.2273214,53.4654483
England,115,Henry,Springmann,NA,NA,"W Derby, UK",FALSE,Forward,Scotland v England,Edinburgh,1879-03-10,2,2,0,0,0,0,0,0,0,0,0,2,0,-1.4746186,52.9225301
England,116,Henry,Taylor,1858-09-21,FALSE,"Greenwich, UK",FALSE,Halfback,Scotland v England,Edinburgh,1879-03-10,5,5,0,0,6,0,0,0,0,3,1,1,0.6,0.0098214,51.4933675
England,117,Harold,Bateson,1855-05-02,FALSE,"Liverpool, UK",FALSE,Forward,England v Ireland,The Oval,1879-03-24,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.9915726,53.4083714
England,118,William,Openshaw,1852-02-05,FALSE,"Cape Town, South Africa",FALSE,Halfback,England v Ireland,The Oval,1879-03-24,1,1,0,0,0,0,0,0,0,1,0,0,1,18.4240553,-33.9248685
England,119,Henry,Twynam,1853-02-14,FALSE,"Bishopsgate, Hants, UK",FALSE,Halfback,England v Ireland,The Oval,1879-03-24,8,8,0,0,4,0,0,0,0,7,0,1,0.875,-1.2551307,50.8607352
England,120,Sidney,Ellis,1859-03-13,FALSE,"Lewisham, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1880-02-02,1,1,0,0,1,0,0,0,0,1,0,0,1,-0.0117006,51.4414579
England,121,Thomas,Fry,1858-09-15,FALSE,"Greenwich, UK",FALSE,Fullback,Ireland v England,Lansdowne Road,1880-02-02,3,3,0,0,1,0,0,0,0,3,0,0,1,0.0098214,51.4933675
England,122,Charles,Gurdon,1855-12-03,FALSE,"Forehoe, Norfolk, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1880-02-02,14,14,0,0,0,0,0,0,0,10,1,3,0.7142857142857143,1.08637,52.606383
England,123,Robert,Hunt,1856-01-21,FALSE,"Preston, UK",FALSE,Three-quarters,Ireland v England,Lansdowne Road,1880-02-02,4,4,0,2,2,1,0,1,0,2,0,2,0.5,-2.70309,53.763201
England,124,Barron,Kilner,1852-10-11,FALSE,"Thornhill Leer, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1880-02-02,1,1,0,0,0,0,0,0,0,1,0,0,1,-3.769113,55.245949
England,125,Ellis,Markendale,1856-11-11,FALSE,"Salford, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1880-02-02,1,1,0,0,1,0,0,0,0,1,0,0,1,-2.2901264,53.48752349999999
England,126,John,Schofield,1858-03-10,FALSE,"Stretford, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1880-02-02,1,1,0,0,0,0,0,0,0,1,0,0,1,-2.308713,53.446622
England,127,Ernie,Woodhead,1857-02-02,FALSE,"Huddersfield, UK",FALSE,Forward,Ireland v England,Lansdowne Road,1880-02-02,1,1,0,0,0,0,0,0,0,1,0,0,1,-1.7850351,53.645792
England,128,Charles,Coates,1857-05-04,FALSE,"Lambeth, UK",FALSE,Forward,England v Scotland,Manchester,1880-02-28,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,-0.1230681,51.4571477
England,129,Richard,Finch,NA,NA,"Kensington, UK",FALSE,Halfback,England v Scotland,Manchester,1880-02-28,1,1,0,0,0,0,0,0,0,1,0,0,1,-0.1938253,51.4990805
England,130,Charles,Phillips,1857-08-14,FALSE,Not Available,FALSE,Forward,England v Scotland,Manchester,1880-02-28,3,3,0,0,0,0,0,0,0,2,0,1,0.6666666666666666,NA,NA
