cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country
54,Frank,Hill,1866-01-13,FALSE,"Cardiff, UK",FALSE,Forward,Scotland v Wales,Glasgow,1885-01-10,15,15,0,0,0,0,0,0,0,6,7,2,0.4,Wales
55,David,Morgans,1863-03-02,FALSE,"Llanwrda, UK",FALSE,Forward,Scotland v Wales,Glasgow,1885-01-10,7,7,0,0,1,0,0,0,0,1,4,2,0.14285714285714285,Wales
56,Willie,Thomas,1866-03-22,FALSE,"Fishguard, UK",FALSE,Forward,Scotland v Wales,Glasgow,1885-01-10,11,11,0,0,0,0,0,0,0,3,5,3,0.2727272727272727,Wales
57,William,Bowen,1862-07-21,FALSE,"Pembroke, UK",FALSE,Forward,England v Wales,Blackheath,1886-01-02,13,13,0,0,0,0,0,0,0,3,8,2,0.23076923076923078,Wales
58,Billy,Douglas,1863-07-02,FALSE,"Barry, UK",FALSE,Three-quarters,England v Wales,Blackheath,1886-01-02,4,4,0,0,0,0,0,0,0,0,3,1,0,Wales
59,Dai,Lewis,1866-12-04,FALSE,"Radyr, UK",FALSE,Forward,England v Wales,Blackheath,1886-01-02,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
60,Evan,Roberts,1861-09-19,FALSE,"Llanelly, UK",FALSE,Forward,England v Wales,Blackheath,1886-01-02,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
61,George,Young,1866-03-23,FALSE,"North Shields, UK",FALSE,Forward,England v Wales,Blackheath,1886-01-02,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
62,Alfred,Mathews,1864-02-07,FALSE,"Rhymney, UK",FALSE,Halfback,Wales v Scotland,Cardiff,1886-01-09,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
63,Alec,Bland,1866-11-24,FALSE,"Uzmaston, UK",FALSE,Forward,Wales v England,Llanelli,1887-01-08,9,9,0,0,0,0,0,0,0,4,3,2,0.4444444444444444,Wales
64,Jem,Evans,1867-05-18,FALSE,"Cardiff, UK",FALSE,Halfback,Wales v England,Llanelli,1887-01-08,4,4,0,0,0,0,0,0,0,1,2,1,0.25,Wales
65,Albert,Hybart,1865-10-04,FALSE,"Cardiff, UK",FALSE,Forward,Wales v England,Llanelli,1887-01-08,1,1,0,0,0,0,0,0,0,0,0,1,0,Wales
66,Thomas,Lockwood,NA,NA,"Chester, UK",FALSE,Forward,Wales v England,Llanelli,1887-01-08,3,3,0,0,0,0,0,0,0,1,1,1,0.3333333333333333,Wales
67,George,Bowen,1863-01-01,TRUE,"Morriston, UK",FALSE,Three-quarters,Scotland v Wales,Edinburgh,1887-02-26,4,4,0,0,0,0,0,0,0,2,2,0,0.5,Wales
68,Hugh,Hughes,1863-10-15,FALSE,"Llanegryn, UK",FALSE,Fullback,Scotland v Wales,Edinburgh,1887-02-26,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
69,William,Williams,1866-12-15,FALSE,"Icomb, Glos, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1887-02-26,5,5,0,0,0,0,0,0,0,2,3,0,0.4,Wales
70,Johnny,Lewis,1859-12-25,FALSE,"Llanelly, UK",FALSE,Halfback,Ireland v Wales,Birkenhead,1887-03-12,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
71,William,Towers,1861-01-01,TRUE,"West Hartlepool, UK",FALSE,Forward,Ireland v Wales,Birkenhead,1887-03-12,2,2,0,0,1,0,0,0,0,2,0,0,1,Wales
72,William,Howell,1863-11-22,FALSE,"Swansea, UK",FALSE,Forward,Wales v Scotland,Newport,1888-02-04,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
73,Price,Jenkins-Price,1864-02-01,FALSE,"Henllan Amgoed, UK",FALSE,Three-quarters,Wales v Scotland,Newport,1888-02-04,2,2,0,0,1,0,0,0,0,1,1,0,0.5,Wales
74,Dick,Kedzlie,1861-03-22,FALSE,"Glasgow, UK",FALSE,Forward,Wales v Scotland,Newport,1888-02-04,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
75,John,Meredith,1863-01-01,TRUE,"Swansea, UK",FALSE,Forward,Wales v Scotland,Newport,1888-02-04,4,4,0,0,0,0,0,0,0,2,2,0,0.5,Wales
76,Dick,Powell,1864-04-10,FALSE,"Abergavenny, UK",FALSE,Forward,Wales v Scotland,Newport,1888-02-04,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
77,Ned,Roberts,1867-11-08,FALSE,"Llanelly, UK",FALSE,Fullback,Wales v Scotland,Newport,1888-02-04,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
78,Thomas,Williams,NA,NA,Not Available,FALSE,Forward,Wales v Scotland,Newport,1888-02-04,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
79,Charlie,Arthur,1863-01-21,FALSE,"King's Lynn, UK",FALSE,Centre,Ireland v Wales,Lansdowne Road,1888-03-03,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
80,Charlie,Thomas,1864-02-08,FALSE,"Newport, UK",FALSE,Halfback,Ireland v Wales,Lansdowne Road,1888-03-03,9,9,0,1,1,0,0,0,0,3,5,1,0.3333333333333333,Wales
81,Norman,Biggs,1870-11-03,FALSE,"Cardiff, UK",FALSE,Wing,Wales v New Zealand Natives,Swansea,1888-12-22,8,8,0,4,2,0,0,0,0,4,4,0,0.5,Wales
82,Dickie,Garrett,1865-01-01,TRUE,"Penarth, UK",FALSE,Centre,Wales v New Zealand Natives,Swansea,1888-12-22,8,8,0,0,0,0,0,0,0,3,4,1,0.375,Wales
83,Dan,Griffiths,1857-02-20,FALSE,"Cwmduad, UK",FALSE,Forward,Wales v New Zealand Natives,Swansea,1888-12-22,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
84,Jim,Hannan,1864-10-12,FALSE,"Newport, UK",FALSE,Forward,Wales v New Zealand Natives,Swansea,1888-12-22,19,19,0,2,2,0,0,0,0,7,11,1,0.3684210526315789,Wales
85,Charles,Harding,1860-05-27,FALSE,"Rusholme, Lancs, UK",FALSE,Forward,Wales v New Zealand Natives,Swansea,1888-12-22,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
86,Syd,Nicholls,1868-05-29,FALSE,"Hartpury, Glos, UK",FALSE,Forward,Wales v New Zealand Natives,Swansea,1888-12-22,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales
87,George,Thomas,1857-03-08,FALSE,"Newport, UK",FALSE,Wing,Wales v New Zealand Natives,Swansea,1888-12-22,3,3,0,0,1,0,0,0,0,1,1,1,0.3333333333333333,Wales
88,Jim,Webb,1863-01-15,FALSE,"Broughton Gifford, Wi, UK",FALSE,Fullback,Wales v New Zealand Natives,Swansea,1888-12-22,2,2,0,1,0,1,0,0,0,1,1,0,0.5,Wales
89,Teddy,Bishop,1864-10-10,FALSE,"Swansea, UK",FALSE,Centre,Scotland v Wales,Edinburgh,1889-02-02,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
90,David,Evans,1866-11-04,FALSE,"Dowlais, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1889-02-02,5,5,0,0,0,0,0,0,0,1,3,1,0.2,Wales
91,Rosser,Evans,1867-10-06,FALSE,"Cwmbach, Aberdare, UK",FALSE,Halfback,Scotland v Wales,Edinburgh,1889-02-02,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
92,Rowley,Thomas,1864-07-11,FALSE,"Henllan Amgoed, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1889-02-02,7,7,0,0,0,0,0,0,0,1,5,1,0.14285714285714285,Wales
93,Abel,Davies,1863-05-29,FALSE,"Llandysul, UK",FALSE,Wing,Wales v Ireland,Swansea,1889-03-02,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
94,Gitto,Griffiths,1864-09-15,FALSE,"Llanelly, UK",FALSE,Halfback,Wales v Ireland,Swansea,1889-03-02,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
95,Tom,Morgan,1866-11-14,FALSE,"Llannon, UK",FALSE,Centre,Wales v Ireland,Swansea,1889-03-02,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
96,Billy,Bancroft,1871-03-02,FALSE,"Swansea, UK",FALSE,Fullback,Wales v Scotland,Cardiff,1890-02-01,33,33,0,60,0,20,4,1,1,16,16,1,0.48484848484848486,Wales
97,Evan,James,1869-01-01,TRUE,"Lower Llansamlet, UK",FALSE,Halfback,Wales v Scotland,Cardiff,1890-02-01,5,5,0,0,0,0,0,0,0,2,3,0,0.4,Wales
98,Percy,Lloyd,1871-01-05,FALSE,"Cross Inn, Llandybie, UK",FALSE,Wing,Wales v Scotland,Cardiff,1890-02-01,4,4,0,0,0,0,0,0,0,2,2,0,0.5,Wales
99,Walter,Rice-Evans,1863-09-10,FALSE,"Llantwit Lower, UK",FALSE,Forward,Wales v Scotland,Cardiff,1890-02-01,3,3,0,0,0,0,0,0,0,0,3,0,0,Wales
100,Stephen,Thomas,1865-08-22,FALSE,"Kidwelly, UK",FALSE,Forward,Wales v Scotland,Cardiff,1890-02-01,3,3,0,0,0,0,0,0,0,2,1,0,0.6666666666666666,Wales
101,Thomas,Graham,1866-11-02,FALSE,"Newcastle-upon-Tyne, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1890-03-01,12,12,0,3,1,0,0,0,0,5,6,1,0.4166666666666667,Wales
102,Hugh,Ingledew,1865-10-23,FALSE,"Cardiff, UK",FALSE,Halfback,Ireland v Wales,Lansdowne Road,1890-03-01,3,3,0,0,0,0,0,0,0,0,2,1,0,Wales
103,Percy,Bennett,NA,NA,"Padstow, Cornwall, UK",FALSE,Forward,Wales v England,Newport,1891-01-03,4,4,0,0,0,0,0,0,0,0,4,0,0,Wales
104,Harry,Packer,1868-09-03,FALSE,"Chipping Norton, Oxon, UK",FALSE,Forward,Wales v England,Newport,1891-01-03,7,7,0,0,0,0,0,0,0,3,4,0,0.42857142857142855,Wales
105,Tom,Pearson,1872-05-10,FALSE,"Bombay, India",FALSE,Wing,Wales v England,Newport,1891-01-03,13,13,0,10,4,0,0,0,0,6,7,0,0.46153846153846156,Wales
106,Edward,Pegge,1864-06-05,FALSE,"Briton Ferry, UK",FALSE,Forward,Wales v England,Newport,1891-01-03,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
107,David,Daniel,1870-09-06,FALSE,"Llanelly, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1891-02-07,8,8,0,0,0,0,0,0,0,3,5,0,0.375,Wales
108,Billy,McCutcheon,1870-06-21,FALSE,"Swansea, UK",FALSE,Wing,Scotland v Wales,Edinburgh,1891-02-07,7,7,0,2,1,0,0,0,0,3,4,0,0.42857142857142855,Wales
109,Ralph,Sweet-Escott,1869-01-11,FALSE,"Essington, Staffs, UK",FALSE,Halfback,Scotland v Wales,Edinburgh,1891-02-07,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
110,Tom,Deacon,1868-02-06,FALSE,"Morriston, UK",FALSE,Forward,Wales v Ireland,Llanelli,1891-03-07,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales
111,David,James,1866-10-30,FALSE,"Swansea, UK",FALSE,Halfback,Wales v Ireland,Llanelli,1891-03-07,4,4,0,0,0,0,0,0,0,2,2,0,0.5,Wales
112,Boomer,Nicholl,1870-06-19,FALSE,"Llanegwad, UK",FALSE,Forward,Wales v Ireland,Llanelli,1891-03-07,15,15,0,0,0,0,0,0,0,7,8,0,0.4666666666666667,Wales
113,David,Samuel,1869-08-29,FALSE,"Wainwen, UK",FALSE,Forward,Wales v Ireland,Llanelli,1891-03-07,2,2,0,1,1,0,0,0,0,2,0,0,1,Wales
114,John,Samuel,1867-05-11,FALSE,"Wainwen, UK",FALSE,Forward,Wales v Ireland,Llanelli,1891-03-07,1,1,0,0,0,0,0,0,0,1,0,0,1,Wales
115,Arthur,Boucher,1870-06-29,FALSE,"Gobowen, Salop, UK",FALSE,Forward,England v Wales,Blackheath,1892-01-02,13,13,0,3,1,0,0,0,0,5,8,0,0.38461538461538464,Wales
116,Frank,Mills,1873-03-18,FALSE,"Mountain Ash, UK",FALSE,Forward,England v Wales,Blackheath,1892-01-02,13,13,0,0,0,0,0,0,0,5,8,0,0.38461538461538464,Wales
117,Percy,Phillips,1869-07-26,FALSE,"Machen, UK",FALSE,Fly-half,England v Wales,Blackheath,1892-01-02,6,6,0,0,0,0,0,0,0,4,2,0,0.6666666666666666,Wales
118,George,Rowles,1865-12-16,FALSE,"Talywain, UK",FALSE,Halfback,England v Wales,Blackheath,1892-01-02,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
119,Wallace,Watts,1870-03-25,FALSE,"Cromhall, Glos, UK",FALSE,Forward,England v Wales,Blackheath,1892-01-02,12,12,0,0,0,0,0,0,0,5,7,0,0.4166666666666667,Wales
120,Conway,Rees,1870-01-13,FALSE,"Llandovery, UK",FALSE,Centre,Wales v Scotland,Swansea,1892-02-06,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
121,Harry,Day,1863-08-31,FALSE,"Christchurch, Monmout, UK",FALSE,Forward,Ireland v Wales,Lansdowne Road,1892-03-05,5,5,0,0,0,0,0,0,0,3,2,0,0.6,Wales
122,Bert,Gould,1870-04-18,FALSE,"Newport, UK",FALSE,Centre,Ireland v Wales,Lansdowne Road,1892-03-05,3,3,0,4,2,0,0,0,0,2,1,0,0.6666666666666666,Wales
123,Frederick,Nicholls,1868-09-02,FALSE,"Paddington, UK",FALSE,Wing,Ireland v Wales,Lansdowne Road,1892-03-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
124,Fred,Parfitt,1869-08-12,FALSE,"Pontnewydd, UK",FALSE,Scrum-half,Wales v England,Cardiff,1893-01-07,9,9,0,3,1,0,0,0,0,5,4,0,0.5555555555555556,Wales
125,Dai,Fitzgerald,1872-01-03,FALSE,"Cardiff, UK",FALSE,Centre,Wales v Scotland,Newport,1894-02-03,2,2,0,7,1,0,0,1,0,1,1,0,0.5,Wales
126,Llewellyn,Thomas,1872-04-06,FALSE,"Brecon, UK",FALSE,Wing,Wales v Scotland,Newport,1894-02-03,3,3,0,0,0,0,0,0,0,2,1,0,0.6666666666666666,Wales
127,Jack,Elliot,1871-08-13,FALSE,"South Shields, UK",FALSE,Scrum-half,Ireland v Wales,Belfast,1894-03-10,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
128,Fred,Hutchinson,1867-02-06,FALSE,"Maesteg, UK",FALSE,Forward,Ireland v Wales,Belfast,1894-03-10,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
129,David,Nicholl,1871-06-14,FALSE,"Llanegwad, UK",FALSE,Forward,Ireland v Wales,Belfast,1894-03-10,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
130,Owen,Badger,1871-11-03,FALSE,"Llanelly, UK",FALSE,Centre,Wales v England,Swansea,1895-01-05,4,4,0,0,0,0,0,0,0,1,3,0,0.25,Wales
131,Selwyn,Biggs,1872-04-02,FALSE,"Cardiff, UK",FALSE,Fly-half,Wales v England,Swansea,1895-01-05,9,9,0,0,0,0,0,0,0,4,5,0,0.4444444444444444,Wales
132,Ben,Davies,1873-06-05,FALSE,"Llanelly, UK",FALSE,Halfback,Wales v England,Swansea,1895-01-05,2,2,0,0,0,0,0,0,0,0,2,0,0,Wales
133,William,Elsey,1870-09-12,FALSE,"Lambeth, UK",FALSE,Forward,Wales v England,Swansea,1895-01-05,1,1,0,3,1,0,0,0,0,0,1,0,0,Wales
134,Tom,Jackson,1870-03-04,FALSE,"Swansea, UK",FALSE,Forward,Wales v England,Swansea,1895-01-05,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
135,Ernie,George,1871-07-04,FALSE,"Llantwit Major, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1895-01-26,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
136,Evan,Lloyd,1871-06-06,FALSE,"Llanelly, UK",FALSE,Wing,Scotland v Wales,Edinburgh,1895-01-26,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
137,Tom,Pook,1869-03-28,FALSE,"Plymouth, Devon, UK",FALSE,Forward,Scotland v Wales,Edinburgh,1895-01-26,1,1,0,0,0,0,0,0,0,0,1,0,0,Wales
138,Albert,Jenkin,1872-09-14,FALSE,"Ibsley, Hants, UK",FALSE,Forward,Wales v Ireland,Cardiff,1895-03-16,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
139,Dai,Morgan,1872-07-14,FALSE,"Llanelly, UK",FALSE,Fly-half,Wales v Ireland,Cardiff,1895-03-16,2,2,0,0,0,0,0,0,0,1,1,0,0.5,Wales
140,Cliff,Bowen,1875-01-03,FALSE,"Morriston, UK",FALSE,Wing,England v Wales,Blackheath,1896-01-04,4,4,0,3,1,0,0,0,0,2,2,0,0.5,Wales
141,Bert,Dauncey,1871-12-01,FALSE,"Pontypool, UK",FALSE,Wing,England v Wales,Blackheath,1896-01-04,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,Wales
