cap_no,first_names,surname,birth_date,approx_brithdate,birth_location,approx_birth_location,position,debut_match,debut_location,debut_date,matches_played,match_starts,sub_starts,points,tries,converstions,penalties,drop_goals,goals_from_mark,won,lost,draw,win_rate,country,lon,lat
39,Georges,Fourcade,1885-04-26,FALSE,Saint-Pierre-sur-Dro,FALSE,Hooker,England v France,Leicester,1909-01-30,2,2,0,0,0,0,0,0,0,0,2,0,0,France,0.203076,44.643147
40,Henri,Houblain,1883-01-01,TRUE,Not Available,FALSE,Centre,England v France,Leicester,1909-01-30,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-122.2636808,37.8009514
41,Jules,Icard,NA,NA,Not Available,FALSE,Lock,England v France,Leicester,1909-01-30,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-122.2636808,37.8009514
42,Andre,Theuriet,1887-03-29,FALSE,Lyon,FALSE,Scrum-half,England v France,Leicester,1909-01-30,5,5,0,0,0,0,0,0,0,0,5,0,0,France,4.835659,45.764043
43,Etienne de,Jouvencel,1889-02-28,FALSE,Paris,FALSE,Fullback,France v Wales,Colombes,1909-02-23,2,2,0,0,0,0,0,0,0,0,2,0,0,France,2.3522219,48.856614
44,Paul,Dupre,1888-06-29,FALSE,Gagny,FALSE,Flanker,France v Wales,Colombes,1909-02-23,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.536518,48.8849159
45,Marcel,Burgun,1890-01-30,FALSE,Saint Petersburg,FALSE,"Wing, Centre, Fly-half",Ireland v France,Lansdowne Road,1909-03-20,11,11,0,0,0,0,0,0,0,1,10,0,0.09090909090909091,France,30.3609096,59.9310584
46,Jacques,Gommes,1881-07-06,FALSE,Bordeaux,FALSE,"Scrum-half, Flanker",Ireland v France,Lansdowne Road,1909-03-20,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-0.57918,44.837789
47,Augustin,Hourdebaigt,1884-09-12,FALSE,Bordeaux,FALSE,Lock,Ireland v France,Lansdowne Road,1909-03-20,5,5,0,3,1,0,0,0,0,0,5,0,0,France,-0.57918,44.837789
48,Marcel,Legrain,1890-06-14,FALSE,Paris,FALSE,"Centre, Flanker, No. 8",Ireland v France,Lansdowne Road,1909-03-20,12,12,0,0,0,0,0,0,0,1,11,0,0.08333333333333333,France,2.3522219,48.856614
49,Claude,Martin,1888-06-16,FALSE,Lyon,FALSE,Fly-half,Ireland v France,Lansdowne Road,1909-03-20,3,3,0,0,0,0,0,0,0,0,3,0,0,France,4.835659,45.764043
50,Francis,Mouronval,1881-06-04,FALSE,Avesnes-sur-Helpe,FALSE,"Centre, Flanker",Ireland v France,Lansdowne Road,1909-03-20,1,1,0,0,0,0,0,0,0,0,1,0,0,France,3.926864,50.123589
51,Joe,Anduran,1882-04-24,FALSE,Bayonne,FALSE,Hooker,Wales v France,Swansea,1910-01-01,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-74.1143091,40.6687141
52,Rene,Boudreaux,1880-11-27,FALSE,Paris,FALSE,Prop,Wales v France,Swansea,1910-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,2.3522219,48.856614
53,Maurice,Bruneau,1883-12-01,FALSE,Bordeaux,FALSE,"Wing, Centre, Fly-half",Wales v France,Swansea,1910-01-01,4,4,0,3,1,0,0,0,0,0,4,0,0,France,-0.57918,44.837789
54,Remi,Laffitte,1886-10-01,FALSE,Osserain,FALSE,"Centre, Flanker",Wales v France,Swansea,1910-01-01,2,2,0,3,1,0,0,0,0,0,2,0,0,France,-0.95153,43.37773199999999
55,R.,Menrath,NA,NA,Not Available,FALSE,Fullback,Wales v France,Swansea,1910-01-01,1,1,0,8,0,1,2,0,0,0,1,0,0,France,-122.2636808,37.8009514
56,M.,Thevenot,1883-01-01,TRUE,Not Available,FALSE,"Prop, Lock",Wales v France,Swansea,1910-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,-122.2636808,37.8009514
57,Jules,Cadenat,1885-09-18,FALSE,Beziers,FALSE,"Prop, Lock, No. 8",Scotland v France,Inverleith,1910-01-22,7,7,0,0,0,0,0,0,0,0,7,0,0,France,3.215795,43.344233
58,Julien,Combe,1887-01-01,TRUE,Not Available,FALSE,Fullback,Scotland v France,Inverleith,1910-01-22,4,4,0,0,0,0,0,0,0,1,3,0,0.25,France,-122.2636808,37.8009514
59,Jacques,Dedet,1887-03-04,FALSE,"Houailou, New Caledo",FALSE,"Centre, Fly-half",Scotland v France,Inverleith,1910-01-22,8,8,0,0,0,0,0,0,0,0,8,0,0,France,165.6353564,-21.278946
60,Guillaume,Laterrade,1889-05-19,FALSE,Tarbes,FALSE,"Scrum-half, Halfback",France v England,Parc des Princes,1910-03-03,5,5,0,3,1,0,0,0,0,1,4,0,0.2,France,0.078082,43.23295100000001
61,Joseph de,Muizon,1890-12-29,FALSE,Versailles,FALSE,Wing,France v Ireland,Parc des Princes,1910-03-28,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.1203554,48.8048649
62,Fernand,Roujas,1885-02-17,FALSE,La Mas d'Azil,FALSE,Fly-half,France v Ireland,Parc des Princes,1910-03-28,1,1,0,0,0,0,0,0,0,0,1,0,0,France,1.36147,43.0793899
63,Joseph,Bavozet,1887-05-26,FALSE,Lyon,FALSE,"Lock, Flanker",France v Scotland,Colombes,1911-01-02,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,France,4.835659,45.764043
64,Paul,Decamps,1884-01-14,FALSE,Paris,FALSE,"Lock, Flanker",France v Scotland,Colombes,1911-01-02,1,1,0,4,0,2,0,0,0,1,0,0,1,France,2.3522219,48.856614
65,Pierre,Failliot,1887-02-25,FALSE,Paris,FALSE,Wing,France v Scotland,Colombes,1911-01-02,8,8,0,15,5,0,0,0,0,1,7,0,0.125,France,2.3522219,48.856614
66,Fernand,Forgues,1884-11-30,FALSE,Pau,FALSE,"Lock, Flanker",France v Scotland,Colombes,1911-01-02,11,11,0,0,0,0,0,0,0,1,10,0,0.09090909090909091,France,-0.370797,43.2951
67,Andre,Francquenelle,1889-08-15,FALSE,Rochefort-sur-Mer,FALSE,Centre,France v Scotland,Colombes,1911-01-02,3,3,0,0,0,0,0,0,0,1,2,0,0.3333333333333333,France,-0.9616969999999999,45.936698
68,Pierre,Mouniq,1887-02-09,FALSE,Luz-Saint-Sauveur,FALSE,"Prop, Lock",France v Scotland,Colombes,1911-01-02,9,9,0,0,0,0,0,0,0,1,8,0,0.1111111111111111,France,-0.002869,42.873542
69,Georges,Peyroutou,1888-07-15,FALSE,Ondres,FALSE,Fly-half,France v Scotland,Colombes,1911-01-02,2,2,0,3,1,0,0,0,0,1,1,0,0.5,France,-1.448208,43.561101
70,Gilbert,Charpentier,1886-11-01,FALSE,Pissotte,FALSE,"Wing, Fly-half",England v France,Twickenham,1911-01-28,3,3,0,0,0,0,0,0,0,0,3,0,0,France,-0.8079809,46.496708
71,Francois,Dutour,1886-12-06,FALSE,Moissat,FALSE,Fullback,England v France,Twickenham,1911-01-28,6,6,0,2,0,1,0,0,0,0,6,0,0,France,3.3479787,45.7743105
72,Rene,Duffour,1881-08-13,FALSE,Tarbes,FALSE,Hooker,France v Wales,Parc des Princes,1911-02-28,1,1,0,0,0,0,0,0,0,0,1,0,0,France,0.078082,43.23295100000001
73,Charles ,du Souich,1890-05-07,FALSE,Tours,FALSE,Centre,France v Wales,Parc des Princes,1911-02-28,2,2,0,0,0,0,0,0,0,0,2,0,0,France,0.68484,47.394144
74,Robert,Monier,1885-02-20,FALSE,Bordeaux,FALSE,Prop,Ireland v France,Cork,1911-03-25,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-0.57918,44.837789
75,Raymond,Simonpaoli,1887-11-24,FALSE,Courtalain,FALSE,Lock,Ireland v France,Cork,1911-03-25,3,3,0,3,1,0,0,0,0,0,3,0,0,France,1.1369229,48.078384
76,Maurice,Boyau,1888-05-08,FALSE,Mustapha,FALSE,Flanker,France v Ireland,Parc des Princes,1912-01-01,6,6,0,4,0,2,0,0,0,0,6,0,0,France,-89.48078939999999,41.8445482
77,Jean-Jacques Conilh de,Beyssac,1890-04-12,FALSE,Cauderan,FALSE,"Prop, Lock",France v Ireland,Parc des Princes,1912-01-01,5,5,0,0,0,0,0,0,0,0,5,0,0,France,-0.6147598,44.852256
78,Jean,Domercq,1886-12-20,FALSE,Orthez,FALSE,Back-row,France v Ireland,Parc des Princes,1912-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-0.7739279,43.48755999999999
79,Julien,Dufau,1888-02-16,FALSE,Biarritz,FALSE,"Wing, Centre",France v Ireland,Parc des Princes,1912-01-01,5,5,0,6,2,0,0,0,0,0,5,0,0,France,-1.558626,43.4831519
80,Daniel,Ihingoue,1889-01-13,FALSE,Ilharre,FALSE,Centre,France v Ireland,Parc des Princes,1912-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-1.0346774,43.4068183
81,Leon,Larribau,1889-03-02,FALSE,Anglet,FALSE,"Wing, Scrum-half",France v Ireland,Parc des Princes,1912-01-01,6,6,0,3,1,0,0,0,0,0,6,0,0,France,-1.514699,43.481402
82,Edouard,Vallot,1884-09-15,FALSE,London,FALSE,Hooker,Scotland v France,Inverleith,1912-01-20,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-0.1277583,51.5073509
83,Jacques,Forestier,1890-06-27,FALSE,Aix-les-Bains,FALSE,Prop,Wales v France,Newport,1912-03-25,1,1,0,0,0,0,0,0,0,0,1,0,0,France,5.908998,45.692341
84,Marcel,Monniot,1885-03-17,FALSE,Paris,FALSE,"Prop, Lock",Wales v France,Newport,1912-03-25,2,2,0,0,0,0,0,0,0,0,2,0,0,France,2.3522219,48.856614
85,Jean-Rene,Pascarel,1890-02-20,FALSE,Bordeaux,FALSE,Hooker,Wales v France,Newport,1912-03-25,6,6,0,0,0,0,0,0,0,0,6,0,0,France,-0.57918,44.837789
86,Jean,Sentilles,1886-02-14,FALSE,Tarbes,FALSE,Centre,Wales v France,Newport,1912-03-25,4,4,0,0,0,0,0,0,0,0,4,0,0,France,0.078082,43.23295100000001
87,Helier,Tilh,1881-02-10,FALSE,Bosdarros,FALSE,"Wing, Prop, Lock",Wales v France,Newport,1912-03-25,6,6,0,0,0,0,0,0,0,0,6,0,0,France,-0.362038,43.209919
88,Maurice,Hedembaigt,1891-02-03,FALSE,Anglet,FALSE,"Scrum-half, Halfback",France v Scotland,Parc des Princes,1913-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,-1.514699,43.481402
89,Pierre,Jaureguy,1891-05-28,FALSE,Ostabat,FALSE,"Wing, Centre",France v Scotland,Parc des Princes,1913-01-01,4,4,0,0,0,0,0,0,0,0,4,0,0,France,-1.071501,43.255952
90,Jean,Sebedio,1890-12-12,FALSE,Saint-Jean-de-Luz,FALSE,"Prop, Flanker, No. 8",France v Scotland,Parc des Princes,1913-01-01,9,9,0,3,1,0,0,0,0,2,5,2,0.2222222222222222,France,-1.663055,43.388051
91,Geo,Andre,1889-08-13,FALSE,Paris,FALSE,Wing,France v South Africa,Bordeaux,1913-01-11,7,7,0,11,3,1,0,0,0,0,7,0,0,France,2.3522219,48.856614
92,Albert,Chatau,1893-02-11,FALSE,Urrugne,FALSE,Fly-half,France v South Africa,Bordeaux,1913-01-11,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-1.7000983,43.3623097
93,Marcel,Favre,1888-08-31,FALSE,La Roche-sur-Foron,FALSE,Prop,England v France,Twickenham,1913-01-25,2,2,0,0,0,0,0,0,0,0,2,0,0,France,6.312039,46.067072
94,Clovis,Bioussa,1893-10-09,FALSE,Toulouse,FALSE,Fly-half,France v Wales,Parc des Princes,1913-02-27,3,3,0,0,0,0,0,0,0,0,3,0,0,France,1.444209,43.604652
95,Gustave,Podevin,1884-12-14,FALSE,Paris,FALSE,Lock,France v Wales,Parc des Princes,1913-02-27,2,2,0,0,0,0,0,0,0,0,2,0,0,France,2.3522219,48.856614
96,Jean,Semmartin,1892-04-30,FALSE,Ars-en-Re,FALSE,Fullback,France v Wales,Parc des Princes,1913-02-27,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-1.515577,46.20780999999999
97,Philippe,Struxiano,1891-03-11,FALSE,Toulouse,FALSE,Scrum-half,France v Wales,Parc des Princes,1913-02-27,7,7,0,6,0,3,0,0,0,2,5,0,0.2857142857142857,France,1.444209,43.604652
98,Albert,Eutropius,1888-01-10,FALSE,Cayenne,FALSE,Flanker,Ireland v France,Cork,1913-03-24,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-52.3134531,4.92242
99,Henri,Tavernier,1888-06-16,FALSE,Saint-Just-en-Chauss,FALSE,Prop,Ireland v France,Cork,1913-03-24,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.435059,49.50543200000001
100,Jean-Marie,Arnal,1892-11-15,FALSE,Paris,FALSE,Lock,France v Ireland,Parc des Princes,1914-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,2.3522219,48.856614
101,Paul,Faure,1890-01-04,FALSE,Aureilhan,FALSE,"Prop, Hooker",France v Ireland,Parc des Princes,1914-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,0.096065,43.242573
102,Robert,Lacoste,1893-01-01,TRUE,Not Available,FALSE,Wing,France v Ireland,Parc des Princes,1914-01-01,3,3,0,3,1,0,0,0,0,0,3,0,0,France,-122.2636808,37.8009514
103,Rene,Lasserre,1895-10-09,FALSE,Bayonne,FALSE,"Fullback, Centre, Flanker",France v Ireland,Parc des Princes,1914-01-01,15,15,0,10,2,0,0,1,0,4,9,2,0.26666666666666666,France,-74.1143091,40.6687141
104,Raphael,Lavaud,1888-01-18,FALSE,Bordeaux,FALSE,"Lock, Flanker",France v Ireland,Parc des Princes,1914-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-0.57918,44.837789
105,Marcel-Frederic,Lubin-Lebrere,1891-07-21,FALSE,Agen,FALSE,"Prop, Lock",France v Ireland,Parc des Princes,1914-01-01,15,15,0,6,2,0,0,0,0,3,10,2,0.2,France,-94.6039222,39.0957618
106,Gilbert,Pierrot,1889-02-03,FALSE,Bizanos,FALSE,Centre,France v Ireland,Parc des Princes,1914-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,-0.355226,43.288931
107,Francois,Poeydebasque,1891-01-07,FALSE,Bayonne,FALSE,"Centre, Fly-half",France v Ireland,Parc des Princes,1914-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-74.1143091,40.6687141
108,Lucien,Besset,1892-01-04,FALSE,Paris,FALSE,"Centre, Fly-half",Wales v France,Swansea,1914-03-02,2,2,0,4,0,2,0,0,0,0,2,0,0,France,2.3522219,48.856614
109,Robert,Desvouges,1894-11-10,FALSE,Neuilly-sur-Seine,FALSE,Lock,Wales v France,Swansea,1914-03-02,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.26851,48.884831
110,Paulin,Bascou,1889-03-15,FALSE,Urrugne,FALSE,Lock,France v England,Colombes,1914-04-13,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-1.7000983,43.3623097
111,Jean-Louis,Capmau,1889-03-17,FALSE,Siran,FALSE,Flanker,France v England,Colombes,1914-04-13,1,1,0,3,1,0,0,0,0,0,1,0,0,France,-98.57703250000002,29.5102455
112,Emmanuel,Iguiniz,1889-12-09,FALSE,Bayonne,FALSE,Hooker,France v England,Colombes,1914-04-13,1,1,0,0,0,0,0,0,0,0,1,0,0,France,-74.1143091,40.6687141
113,Eugene,Billac,1898-03-16,FALSE,Bayonne,FALSE,Fly-half,France v Scotland,Parc des Princes,1920-01-01,9,9,0,6,2,0,0,0,0,3,6,0,0.3333333333333333,France,-74.1143091,40.6687141
114,Aime,Cassayet-Armagnac,1893-04-09,FALSE,Mont-de-Marsan,FALSE,"Lock, No. 8",France v Scotland,Parc des Princes,1920-01-01,31,31,0,9,3,0,0,0,0,5,24,2,0.16129032258064516,France,-0.4997819999999999,43.893485
115,Andre,Chilo,1898-07-05,FALSE,Bordeaux,FALSE,"Fullback, Wing",France v Scotland,Parc des Princes,1920-01-01,4,4,0,0,0,0,0,0,0,0,4,0,0,France,-0.57918,44.837789
116,Rene,Crabos,1899-02-07,FALSE,Saint-Sever,FALSE,Centre,France v Scotland,Parc des Princes,1920-01-01,17,17,0,19,1,5,2,0,0,6,9,2,0.35294117647058826,France,-0.574221,43.759137
117,Adolphe,Jaureguy,1898-02-18,FALSE,Ostabat,FALSE,Wing,France v Scotland,Parc des Princes,1920-01-01,31,31,0,42,14,0,0,0,0,8,22,1,0.25806451612903225,France,-1.071501,43.255952
118,Joseph,Laurent,1894-03-21,FALSE,Bayonne,FALSE,Flanker,France v Scotland,Parc des Princes,1920-01-01,3,3,0,0,0,0,0,0,0,0,3,0,0,France,-74.1143091,40.6687141
119,Robert,Marchand,1892-02-16,FALSE,Angouleme,FALSE,No. 8,France v Scotland,Parc des Princes,1920-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,0.1562369,45.648377
120,Pierre,Pons,1894-09-16,FALSE,Llupia,FALSE,"Prop, Hooker",France v Scotland,Parc des Princes,1920-01-01,6,6,0,0,0,0,0,0,0,1,4,1,0.16666666666666666,France,2.769887,42.619867
121,Louis,Puech,1894-12-04,FALSE,Gorses,FALSE,Lock,France v Scotland,Parc des Princes,1920-01-01,5,5,0,0,0,0,0,0,0,2,3,0,0.4,France,2.024965,44.794143
122,Paul,Serre,1895-12-13,FALSE,Clairac,FALSE,Wing,France v Scotland,Parc des Princes,1920-01-01,2,2,0,0,0,0,0,0,0,0,2,0,0,France,0.37577700000000003,44.360409
123,Robert,Thierry,1893-06-23,FALSE,Brienon-sur-Armencon,FALSE,"Lock, Flanker",France v Scotland,Parc des Princes,1920-01-01,4,4,0,0,0,0,0,0,0,1,3,0,0.25,France,3.617134,47.991832
124,Theophile,Cambre,1894-03-24,FALSE,Bordeaux,FALSE,Fullback,England v France,Twickenham,1920-01-31,4,4,0,0,0,0,0,0,0,2,2,0,0.5,France,-0.57918,44.837789
125,Abel,Guichemerre,1889-08-23,FALSE,Dax,FALSE,Flanker,England v France,Twickenham,1920-01-31,4,4,0,0,0,0,0,0,0,1,3,0,0.25,France,-80.3212932,25.8510938
126,Jean,Lavigne,1894-03-27,FALSE,Levignacq,FALSE,Centre,England v France,Twickenham,1920-01-31,2,2,0,0,0,0,0,0,0,0,2,0,0,France,-1.166166,44.005114
127,Eugene,Soulie,1898-01-01,TRUE,Paris,FALSE,"Prop, Lock",England v France,Twickenham,1920-01-31,9,9,0,0,0,0,0,0,0,4,4,1,0.4444444444444444,France,2.3522219,48.856614
128,Maurice,Biraben,1892-05-20,FALSE,Dax,FALSE,Prop,France v Wales,Colombes,1920-02-17,10,10,0,0,0,0,0,0,0,4,4,2,0.4,France,-80.3212932,25.8510938
129,Georges,Constant,1899-04-13,FALSE,Perpignan,FALSE,Flanker,France v Wales,Colombes,1920-02-17,1,1,0,0,0,0,0,0,0,0,1,0,0,France,2.8948332,42.6886591
130,Francois,Borde,1899-12-08,FALSE,Lourdes,FALSE,Centre,Ireland v France,Lansdowne Road,1920-04-03,12,12,0,3,1,0,0,0,0,4,7,1,0.3333333333333333,France,-0.045726,43.091463
131,William,Gayraud-Hirigoyen,1898-05-01,FALSE,Laroque-Timbaut,FALSE,Hooker,Ireland v France,Lansdowne Road,1920-04-03,1,1,0,3,1,0,0,0,0,1,0,0,1,France,0.761948,44.283125
132,Raoul,Got,1900-02-11,FALSE,Perpignan,FALSE,Wing,Ireland v France,Lansdowne Road,1920-04-03,13,13,0,18,6,0,0,0,0,4,7,2,0.3076923076923077,France,2.8948332,42.6886591
